HMDB	KEGG
HMDB0000001	C01152
HMDB0000002	C00986
HMDB0000005	C00109
HMDB0000008	C05984
HMDB0000010	C05299
HMDB0000011	C01089
HMDB0000012	C00526
HMDB0000014	C00881
HMDB0000015	C05488
HMDB0000016	C03205
HMDB0000017	C00847
HMDB0000019	C00141
HMDB0000020	C00642
HMDB0000021	C02515
HMDB0000022	C05587
HMDB0000023	C06001
HMDB0000026	C02642
HMDB0000027	C00272
HMDB0000030	C00120
HMDB0000031	C00523
HMDB0000032	C01164
HMDB0000033	C00386
HMDB0000034	C00147
HMDB0000036	C05122
HMDB0000037	C01780
HMDB0000038	C02953
HMDB0000039	C00246
HMDB0000042	C00033
HMDB0000044	C01041
HMDB0000045	C00020
HMDB0000050	C00212
HMDB0000051	C00014
HMDB0000052	C03406
HMDB0000053	C00280
HMDB0000054	C00486
HMDB0000055	C06422
HMDB0000056	C00099
HMDB0000058	C00575
HMDB0000060	C00164
HMDB0000061	C00054
HMDB0000062	C00318
HMDB0000063	C00735
HMDB0000064	C00300
HMDB0000067	C00187
HMDB0000068	C00788
HMDB0000070	C00408
HMDB0000071	C05512
HMDB0000072	C00417
HMDB0000073	C03758
HMDB0000076	C00429
HMDB0000077	C01227
HMDB0000078	C01419
HMDB0000079	C00906
HMDB0000082	C00063
HMDB0000085	C00330
HMDB0000086	C00670
HMDB0000087	C00543
HMDB0000089	C00475
HMDB0000092	C01026
HMDB0000094	C00158
HMDB0000095	C00055
HMDB0000097	C00114
HMDB0000098	C00181
HMDB0000099	C02291
HMDB0000101	C00559
HMDB0000107	C01697
HMDB0000108	C00469
HMDB0000112	C00334
HMDB0000114	C01233
HMDB0000115	C03547
HMDB0000118	C05582
HMDB0000119	C00048
HMDB0000121	C00504
HMDB0000122	C00221
HMDB0000123	C00037
HMDB0000124	C00085
HMDB0000125	C00051
HMDB0000126	C00093
HMDB0000127	C00191
HMDB0000128	C00581
HMDB0000130	C00544
HMDB0000131	C00116
HMDB0000132	C00242
HMDB0000133	C00387
HMDB0000134	C00122
HMDB0000138	C01921
HMDB0000139	C00258
HMDB0000142	C00058
HMDB0000143	C00984
HMDB0000145	C00468
HMDB0000148	C00025
HMDB0000149	C00189
HMDB0000150	C00198
HMDB0000151	C00951
HMDB0000152	C00628
HMDB0000153	C05141
HMDB0000156	C00149
HMDB0000157	C00262
HMDB0000158	C00082
HMDB0000159	C00079
HMDB0000161	C00041
HMDB0000162	C00148
HMDB0000163	C00208
HMDB0000164	C00218
HMDB0000167	C00188
HMDB0000168	C00152
HMDB0000169	C00936
HMDB0000172	C00407
HMDB0000174	C01019
HMDB0000175	C00130
HMDB0000176	C01384
HMDB0000177	C00135
HMDB0000181	C00355
HMDB0000182	C00047
HMDB0000186	C00243
HMDB0000187	C00065
HMDB0000189	C00081
HMDB0000190	C00186
HMDB0000191	C00049
HMDB0000192	C00491
HMDB0000193	C00311
HMDB0000194	C01262
HMDB0000195	C00294
HMDB0000197	C00954
HMDB0000202	C02170
HMDB0000205	C00166
HMDB0000206	C02727
HMDB0000207	C00712
HMDB0000208	C00026
HMDB0000209	C07086
HMDB0000210	C00864
HMDB0000211	C00137
HMDB0000212	C01074
HMDB0000213	C01177
HMDB0000214	C00077
HMDB0000215	C00140
HMDB0000216	C00547
HMDB0000217	C00006
HMDB0000218	C01103
HMDB0000220	C00249
HMDB0000221	C00005
HMDB0000222	C02990
HMDB0000223	C00036
HMDB0000224	C00346
HMDB0000225	C00322
HMDB0000226	C00295
HMDB0000227	C00418
HMDB0000228	C15584
HMDB0000229	C00455
HMDB0000230	C19910
HMDB0000232	C03722
HMDB0000234	C00535
HMDB0000235	C00378
HMDB0000237	C00163
HMDB0000238	C00835
HMDB0000239	C00314
HMDB0000240	C00094
HMDB0000241	C02191
HMDB0000243	C00022
HMDB0000244	C00255
HMDB0000245	C00931
HMDB0000247	C00794
HMDB0000248	C01829
HMDB0000250	C00013
HMDB0000251	C00245
HMDB0000252	C00319
HMDB0000253	C01953
HMDB0000254	C00042
HMDB0000256	C00751
HMDB0000257	C05529
HMDB0000258	C00089
HMDB0000259	C00780
HMDB0000262	C00178
HMDB0000263	C00074
HMDB0000265	C02465
HMDB0000267	C01879
HMDB0000268	C05476
HMDB0000269	C00836
HMDB0000271	C00213
HMDB0000272	C01005
HMDB0000273	C00214
HMDB0000277	C06124
HMDB0000279	C00449
HMDB0000280	C00119
HMDB0000283	C00121
HMDB0000285	C00075
HMDB0000286	C00029
HMDB0000288	C00105
HMDB0000289	C00366
HMDB0000290	C00043
HMDB0000291	C05584
HMDB0000292	C00385
HMDB0000293	C00700
HMDB0000294	C00086
HMDB0000295	C00015
HMDB0000296	C00299
HMDB0000299	C01762
HMDB0000300	C00106
HMDB0000301	C00785
HMDB0000302	C00052
HMDB0000303	C00398
HMDB0000305	C17276
HMDB0000306	C00483
HMDB0000313	C05300
HMDB0000315	C06390  
HMDB0000318	C05576
HMDB0000319	C01124
HMDB0000321	C02360
HMDB0000335	C05300
HMDB0000338	C05301
HMDB0000343	C05298
HMDB0000352	C05139
HMDB0000355	C03761
HMDB0000361	C17660
HMDB0000363	C05138
HMDB0000364	C17727
HMDB0000365	C07635
HMDB0000370	C05672
HMDB0000372	C14441
HMDB0000374	C01176
HMDB0000375	C11457
HMDB0000383	C07632
HMDB0000397	C00196
HMDB0000398	C00846
HMDB0000399	C01094
HMDB0000402	C02504
HMDB0000405	C05302
HMDB0000406	C14383
HMDB0000411	C17646
HMDB0000415	C17726
HMDB0000423	C10447
HMDB0000426	C00815
HMDB0000429	C02537
HMDB0000432	C02373
HMDB0000440	C05593
HMDB0000442	C03197
HMDB0000445	C06768
HMDB0000446	C12989
HMDB0000447	C15568
HMDB0000448	C06104
HMDB0000450	C16741
HMDB0000452	C02356
HMDB0000462	C01551
HMDB0000464	C00076
HMDB0000466	C08313
HMDB0000468	C06313
HMDB0000469	C03088
HMDB0000472	C00643
HMDB0000474	C02845
HMDB0000479	C01152
HMDB0000482	C06423
HMDB0000484	C06672
HMDB0000489	C04540
HMDB0000490	C04373
HMDB0000491	C00671
HMDB0000492	C00698
HMDB0000493	C12525
HMDB0000494	C11682
HMDB0000496	C03033
HMDB0000500	C00156
HMDB0000505	C17737
HMDB0000506	C17647
HMDB0000508	C00474
HMDB0000510	C00956
HMDB0000511	C01571
HMDB0000512	C03519
HMDB0000513	C01571
HMDB0000517	C00062
HMDB0000518	C02528
HMDB0000528	C00337
HMDB0000535	C01585
HMDB0000536	C03794
HMDB0000538	C00002
HMDB0000539	C00878
HMDB0000547	C00305
HMDB0000549	C01770
HMDB0000561	C02094
HMDB0000562	C00791
HMDB0000563	C05607
HMDB0000564	C00157
HMDB0000565	C00880
HMDB0000567	C10438
HMDB0000568	C01904
HMDB0000570	C05770
HMDB0000573	C01712
HMDB0000574	C00097
HMDB0000575	C01817
HMDB0000580	C00607
HMDB0000586	C00238
HMDB0000588	C01330
HMDB0000592	C04132
HMDB0000595	C01353
HMDB0000596	C03108
HMDB0000598	C00087
HMDB0000599	C19368
HMDB0000600	C05547
HMDB0000606	C01087
HMDB0000607	C02823
HMDB0000608	C00175
HMDB0000610	C15441
HMDB0000617	C01546
HMDB0000618	C00199
HMDB0000619	C00695
HMDB0000620	C02214
HMDB0000621	C00309
HMDB0000623	C02678
HMDB0000624	C03264
HMDB0000625	C00257
HMDB0000626	C04483
HMDB0000629	C00401
HMDB0000630	C00380
HMDB0000631	C05464 
HMDB0000632	C00426
HMDB0000634	C02226
HMDB0000637	C05466
HMDB0000638	C02679
HMDB0000639	C00879
HMDB0000641	C00064
HMDB0000643	C05769
HMDB0000645	C00446
HMDB0000646	C02479
HMDB0000648	C01747
HMDB0000649	C19654
HMDB0000650	C02261
HMDB0000651	C03299
HMDB0000652	C00634
HMDB0000653	C18043
HMDB0000657	C00070
HMDB0000660	C02336
HMDB0000661	C00489
HMDB0000662	C00742
HMDB0000663	C00818
HMDB0000666	C17714
HMDB0000669	C05852
HMDB0000670	C01924
HMDB0000671	C02043
HMDB0000672	C19615
HMDB0000673	C01595
HMDB0000674	C00416
HMDB0000675	C01382
HMDB0000676	C01817
HMDB0000679	C02427
HMDB0000684	C00328
HMDB0000686	C17662
HMDB0000687	C00123
HMDB0000691	C04025
HMDB0000692	C14818
HMDB0000693	C00925
HMDB0000694	C03196
HMDB0000695	C00233
HMDB0000696	C00073
HMDB0000698	C15557
HMDB0000699	C02918
HMDB0000700	C01013
HMDB0000703	C01984
HMDB0000704	C03975
HMDB0000707	C01179
HMDB0000710	C01991
