LipidMaps	HMDB
LMFA00000014	HMDB0013655
LMFA08040047	HMDB0013626
LMFA03060005	HMDB11134
LMFA03050020	HMDB04264
LMFA02000235	HMDB04704
LMFA01030761	HMDB01999
LMFA01030763	HMDB00207
LMFA03060080	HMDB03876
LMFA03060082	HMDB05998
LMFA03010037	HMDB02886
LMFA01030762	HMDB02183
LMFA03010179	HMDB04685
LMFA02000234	HMDB04705
LMFA02000231	HMDB04670
LMFA02000236	HMDB06939
LMFA03050021	HMDB02232
LMFA03030010	HMDB03252
LMFA03020030	HMDB01085
LMFA03060083	HMDB10217
LMFA01030003	HMDB01043
LMFA10000001	HMDB0030995
LMFA01170048	HMDB0000448
LMFA05000011	HMDB0041103
LMFA08020186	HMDB0031183
LMFA07010798	HMDB0013223
LMFA05000539	HMDB0040152
LMFA01020408	HMDB0034849
LMFA03020025	HMDB0012639
LMFA03010087	HMDB0001335
LMFA03020003	HMDB0001198
LMFA01170051	HMDB0000857
LMFA02000035	HMDB06939
LMFA04030003	HMDB0004038
LMFA07050384	HMDB0006530
LMFA07040045	HMDB0038056
LMFA12000048	HMDB0005842
LMFA01030037	HMDB10729
LMFA12000013	HMDB0031476
LMFA11000002	HMDB0001485
LMFA11000004	HMDB0031444
LMFA06000072	HMDB0031020
LMFA11000579	HMDB0029595
LMFA07011005	HMDB0040296
LMFA05000110	HMDB0031604
LMFA07010793	HMDB0032065
LMFA07010795	HMDB0040290
LMFA07010811	HMDB0032265
LMFA07010794	HMDB0041559
LMFA07010854	HMDB0040298
LMFA07010874	HMDB0033889
LMFA07010413	HMDB0034606
LMFA07010455	HMDB0030998
LMFA07010639	HMDB0032312
LMFA07010955	HMDB0036385
LMFA07010962	HMDB0033809
LMFA07010879	HMDB0036215
LMFA07010262	HMDB0038969
LMFA07010470	HMDB0061859
LMFA07011003	HMDB0032047
LMFA07010633	HMDB0059871
LMFA07010507	HMDB0039216
LMFA07010446	HMDB0031291
LMFA07010506	HMDB0033745
LMFA07010185	HMDB0032307
LMFA07010181	HMDB0040215
LMFA07010179	HMDB0032533
LMFA07010984	HMDB0000798
LMFA05000134	HMDB0030959
LMFA12000009	HMDB0033547
LMFA07011004	HMDB0034457
LMFA07010419	HMDB0033620
LMFA07010593	HMDB0033377
LMFA07010574	HMDB0040221
LMFA07010932	HMDB0037496
LMFA07010528	HMDB0033890
LMFA07010433	HMDB0035238
LMFA07010480	HMDB0036599
LMFA07010468	HMDB0034153
LMFA07010411	HMDB0030058
LMFA07010853	HMDB0037194
LMFA07010886	HMDB0029552
LMFA07010471	HMDB0029811
LMFA07010474	HMDB0034154
LMFA07010412	HMDB0030059
LMFA07010516	HMDB0031509
LMFA07010503	HMDB0031248
LMFA07010467	HMDB0030469
LMFA07010964	HMDB0031273
LMFA07010934	HMDB0029762
LMFA07010930	HMDB0031014
LMFA07010885	HMDB0032278
LMFA07010207	HMDB0032214
LMFA07010947	HMDB0032410
LMFA07010676	HMDB0040430
LMFA07050003	HMDB06521
LMFA07010511	HMDB0030028
LMFA05000657	HMDB0041600
LMFA07010866	HMDB0032259
LMFA07050030	HMDB01484
LMFA07050315	HMDB0001373
LMFA07050013	HMDB0062368
LMFA07050387	HMDB0006522
LMFA07050064	HMDB0062233
LMFA07050217	HMDB0013187
LMFA11000331	HMDB0030930
LMFA08020164	HMDB0039106
LMFA11000585	HMDB0034282
LMFA01170080	HMDB0002074
LMFA11000007	HMDB0029600
LMFA06000065	HMDB0040247
LMFA06000075	HMDB0037275
LMFA12000016	HMDB0031492
LMFA11000436	HMDB0031205
LMFA11000591	HMDB0031445
LMFA06000032	HMDB0039770
LMFA12000018	HMDB0061873
LMFA01060193	HMDB0001172
LMFA01170086	HMDB0002441
LMFA01170096	HMDB0000398
LMFA01100055	HMDB0001149
LMFA01170117	HMDB0000752
LMFA01170088	HMDB0000345
LMFA03010142	HMDB0003034
LMFA01030913	HMDB0000499
LMFA03090003	HMDB04690
LMFA03050010	HMDB0002265
LMFA01130001	HMDB0001451
LMFA03010150	HMDB0060045
LMFA03020022	HMDB0062286
LMFA01030007	HMDB0031602
LMFA03050012	HMDB0062290
LMFA01010024	HMDB0002003
LMFA03020012	HMDB0002304
LMFA03060050	HMDB10219
LMFA01030085	HMDB0002231
LMFA01170032	HMDB00603
LMFA01020274	HMDB0000019
LMFA01020275	HMDB00491
LMFA11000006	HMDB0059886
LMFA02000039	HMDB0010220
LMFA03000004	HMDB0010212
LMFA08020072	HMDB0013650
LMFA01100050	HMDB0002166
LMFA01050388	HMDB0000396
LMFA01170119	HMDB0001844
LMFA05000641	HMDB0031044
LMFA04000064	HMDB0001976
LMFA07040017	HMDB0038310
LMFA07090041	HMDB0112146
LMFA01030256	HMDB00560
LMFA12000069	HMDB0031607
LMFA07090008	HMDB0112121
LMFA07090010	HMDB0112129
LMFA07090047	HMDB0112152
LMFA07090055	HMDB0112160
LMFA07090007	HMDB0112113
LMFA07090009	HMDB0112128
LMFA07090064	HMDB0112168
LMFA07090032	HMDB0112145
LMFA07090021	HMDB0112137
LMFA07090005	HMDB0112111
LMFA07090002	HMDB0112116
LMFA07010463	HMDB0031018
LMFA01090068	HMDB0031331
LMFA01090071	HMDB0060515
LMFA01020396	HMDB0004085
LMFA03070054	HMDB0012611
LMFA03050024	HMDB0012563
LMFA01050492	HMDB0000410
LMFA05000565	HMDB0035411
LMFA05000690	HMDB0036568
LMFA06000256	HMDB0032247
LMFA01030962	HMDB0035235
LMFA05000629	HMDB0038913
LMFA07010723	HMDB0039218
LMFA07010821	HMDB0032209
LMFA07010944	HMDB32413
LMFA07010850	HMDB0034286
LMFA06000074	HMDB0030928
LMFA01031043	HMDB0005060
LMFA11000327	HMDB0031082
LMFA01031082	HMDB0031053
LMFA07090029	HMDB0112143
LMFA07090033	HMDB0112114
LMFA03050025	HMDB0012564
LMFA03050004	HMDB0002343
LMFA03060019	HMDB0013633
LMFA03010001	HMDB0002886
LMFA03010138	HMDB0002122
LMFA03060028	HMDB04682
LMFA01020111	HMDB0001862
LMFA01050037	HMDB0000387
LMFA01060077	HMDB0000243
LMFA06000079	HMDB0032525
LMFA12000030	HMDB0031563
LMFA03060070	HMDB0004692
LMFA03070031	HMDB0010202
LMFA12000148	HMDB0031268
LMFA08040033	HMDB0013659
LMFA01050376	HMDB0000409
LMFA01050387	HMDB0001975
LMFA08020099	HMDB0062337
LMFA01100040	HMDB0003355
LMFA01030819	HMDB0006246
