compoundName_HMDB	HMDB	KEGG	compoundName_LipidMaps	LipidMaps
1-Methylhistidine	HMDB0000001	C01152		
1,3-Diaminopropane	HMDB0000002	C00986		
2-Ketobutyric acid	HMDB0000005	C00109	3-methyl pyruvic acid	LMFA01060002
2-Hydroxybutyric acid	HMDB0000008	C05984	(+/-)alpha-hydoxy butyric acid	LMFA01050004
2-Methoxyestrone	HMDB0000010	C05299	2-Methoxyestrone	LMST02010033
3-Hydroxybutyric acid	HMDB0000011	C01089	3R-hydroxy-butanoic acid	LMFA01050243
Deoxyuridine	HMDB0000012	C00526		
Deoxycytidine	HMDB0000014	C00881		
Cortexolone	HMDB0000015	C05488	11-deoxycortisol	LMST02030086
Deoxycorticosterone	HMDB0000016	C03205	11-deoxycorticosterone	LMST02030087
4-Pyridoxic acid	HMDB0000017	C00847		
alpha-Ketoisovaleric acid	HMDB0000019	C00141	3-methyl-2-oxo-butanoic acid	LMFA01020274
p-Hydroxyphenylacetic acid	HMDB0000020	C00642		
Iodotyrosine	HMDB0000021	C02515		
3-Methoxytyramine	HMDB0000022	C05587		
(S)-3-Hydroxyisobutyric acid	HMDB0000023	C06001		
3-O-Sulfogalactosylceramide (d18:1/24:0)	HMDB0000024			
Ureidopropionic acid	HMDB0000026	C02642		
Tetrahydrobiopterin	HMDB0000027	C00272		
Biotin	HMDB0000030	C00120		
Androsterone	HMDB0000031	C00523	Androsterone	LMST02020001
7-Dehydrocholesterol	HMDB0000032	C01164	7-dehydrocholesterol	LMST01010069
Carnosine	HMDB0000033	C00386		
Adenine	HMDB0000034	C00147		
Taurocholic acid	HMDB0000036	C05122	Taurocholic acid	LMST05040001
Aldosterone	HMDB0000037	C01780		
Dihydrobiopterin	HMDB0000038	C02953		
Butyric acid	HMDB0000039	C00246	Butyric acid	LMFA01010004
Acetic acid	HMDB0000042	C00033	Acetic acid	LMFA01010002
Betaine	HMDB0000043			
Ascorbic acid	HMDB0000044	C01041		
Adenosine monophosphate	HMDB0000045	C00020		
Melibiose	HMDB0000048			
Adenosine	HMDB0000050	C00212		
Ammonia	HMDB0000051	C00014		
Argininosuccinic acid	HMDB0000052	C03406		
Androstenedione	HMDB0000053	C00280	Androstenedione	LMST02020007
Bilirubin	HMDB0000054	C00486		
Cellobiose	HMDB0000055	C06422		
beta-Alanine	HMDB0000056	C00099		
Cyclic AMP	HMDB0000058	C00575		
Acetoacetic acid	HMDB0000060	C00164	Acetoacetic acid	LMFA01060003
Adenosine 3',5'-diphosphate	HMDB0000061	C00054		
L-Carnitine	HMDB0000062	C00318		
Cortisol	HMDB0000063	C00735	Cortisol	LMST02030001
Creatine	HMDB0000064	C00300		
Cholesterol	HMDB0000067	C00187	Cholesterol	LMST01010001
Epinephrine	HMDB0000068	C00788		
Pipecolic acid	HMDB0000070	C00408		
Deoxyinosine	HMDB0000071	C05512		
cis-Aconitic acid	HMDB0000072	C00417		
Dopamine	HMDB0000073	C03758		
Dihydrouracil	HMDB0000076	C00429		
Dehydroepiandrosterone	HMDB0000077	C01227	Dehydroepiandrosterone	LMST02020021
Cysteinylglycine	HMDB0000078	C01419		
Dihydrothymine	HMDB0000079	C00906		
Cytidine triphosphate	HMDB0000082	C00063		
Deoxyguanosine	HMDB0000085	C00330		
Glycerophosphocholine	HMDB0000086	C00670		
Dimethylamine	HMDB0000087	C00543		
Cytidine	HMDB0000089	C00475		
Dimethylglycine	HMDB0000092	C01026		
Citric acid	HMDB0000094	C00158		
Cytidine monophosphate	HMDB0000095	C00055		
Choline	HMDB0000097	C00114		
D-Xylose	HMDB0000098	C00181		
L-Cystathionine	HMDB0000099	C02291		
Deoxyadenosine	HMDB0000101	C00559		
Galactitol	HMDB0000107	C01697		
Ethanol	HMDB0000108	C00469		
gamma-Aminobutyric acid	HMDB0000112	C00334	4-amino-butanoic acid	LMFA01100039
Glycerylphosphorylethanolamine	HMDB0000114	C01233		
Glycolic acid	HMDB0000115	C03547		
Homovanillic acid	HMDB0000118	C05582		
Glyoxylic acid	HMDB0000119	C00048		
Folic acid	HMDB0000121	C00504		
D-Glucose	HMDB0000122	C00221		
Glycine	HMDB0000123	C00037		
Fructose 6-phosphate	HMDB0000124	C00085		
Glutathione	HMDB0000125	C00051		
Glycerol 3-phosphate	HMDB0000126	C00093		
D-Glucuronic acid	HMDB0000127	C00191		
Guanidoacetic acid	HMDB0000128	C00581		
Homogentisic acid	HMDB0000130	C00544		
Glycerol	HMDB0000131	C00116		
Guanine	HMDB0000132	C00242		
Guanosine	HMDB0000133	C00387		
Fumaric acid	HMDB0000134	C00122		
Glycocholic acid	HMDB0000138	C01921		
Glyceric acid	HMDB0000139	C00258		
Formic acid	HMDB0000142	C00058		
D-Galactose	HMDB0000143	C00984		
Estrone	HMDB0000145	C00468	Estrone	LMST02010004
