HMDB	KEGG	LipidMaps	compoundName_HMDB	compoundName_LipidMaps
		LMFA02000377		(Z)-Stellettic acid B
		LMFA02000378		(E)-Stellettic acid B
		LMFA02000376		Stellettic acid A
		LMFA02000379		(Z)-Stellettic acid C
		LMFA07040132		Topsentolide A1
		LMFA07040135		Topsentolide C1
		LMFA07040133		Topsentolide A2
		LMFA07040134		Topsentolide C2
		LMFA02000380		
		LMFA07040137		4S-Hydroxy-5S-octyl-4,5-dihydro-3H-furan-2-one
		LMFA01140098		Adiantic acid
		LMFA01031198		
		LMFA01060233		
		LMFA01060232		
		LMFA03000022		Ptilodene
		LMFA08020284		Topostin B553
		LMFA08020286		Topostin D654
		LMFA08010030		Bacillamidin G
		LMFA08020288		Bacillamidin A
		LMFA08020291		Bacillamidin C
		LMFA08020289		Bacillamidin B
		LMFA08020292		Bacillamidin E
		LMFA08020290		Bacillamidin D
		LMFA08010029		Bacillamidin F
		LMFA08020285		Topostin D654
		LMFA08020287		
		LMFA01050151		methyl 8-[2-(2-formyl-vinyl)-3-hydroxy-5-oxo-cyclopentyl]-octanoate
		LMFA03080011		(+/-)11,12-EpETrE-d8
		LMFA02000381		Solacetal A
		LMFA07040136		4S-Hydroxy-5R-octyl-4,5-dihydro-3H-furan-2-one
		LMFA07040138		
		LMFA01031208		Caryoynencin C
		LMFA02000382		Solacetal B
		LMFA02000383		Solacetal C
		LMFA02000384		Solacetal D
		LMFA03140013		Resolvin E4
		LMFA04000096		Protectin D1n-3 DPA
		LMFA04000097		Protectin D2n‑3 DPA
		LMFA04000098		Mar1n-3 DPA
		LMFA07040139		PsiAalpha
		LMFA07040140		PsiAabeta
		LMFA01031200		Petroformynic acid B
		LMFA01031201		Petroformynic acid C
		LMFA07090167		Heterofibrin B3
		LMFA01031202		Nepheliosyne A
		LMFA01031203		Nepheliosyne B
		LMFA04000099		Leiopathic acid
		LMFA01031205		Heterofibrin B1
		LMFA01031207		Caryoynencin B
		LMFA01020442		11-Methyl-2Z,5Z-dodecadienoic acid
		LMFA07011157		Neryl 6-methyloctanoate
		LMFA07011158		Neryl 4-methylhexanoate
		LMFA07011159		Neryl 5-methylhexanoate
		LMFA08030016		N-(3-oxo-hexadecanoyl)-homoserine lactone
		LMFA01030375		7E,13E-Eicosadienoic acid
		LMFA01030780		cis-dec-2-enoic acid
		LMFA01031128		Carduusyne A
		LMFA01031204		Heterofibrin A1
		LMFA07090164		Heterofibrin A2
		LMFA07090165		Heterofibrin B2
		LMFA08030040		N-(2E,9Z-hexadecadienoyl)-homoserine lactone
		LMFA08030041		N-(7-methyloctanoyl)homoserine lactone
		LMFA08030042		N-(3-hydroxy-7-methyloctanoyl)homoserine lactone
		LMFA07090166		Heterofibrin A3
		LMFA01031209		14-methyl-5Z,9Z-pentadecadienoic acid
		LMFA01050587		15R-HTPE
		LMFA01050588		15S-HTPE
		LMFA01090161		Carduusyne B
		LMFA01050589		Carduusyne E
		LMFA01080037		Carduusyne C
		LMFA01090162		Carduusyne D
		LMFA01031213		Osirisyne G
		LMFA01031212		4Z,9E,15E,19Z-docosatetraenoic acid
		LMFA01031214		Osirisyne H
		LMFA01031216		Osirisyne E
		LMFA01031217		Osirisyne F
		LMFA01031218		Osirisyne C
		LMFA01031219		Osirisyne D
		LMFA01031220		Osirisyne A
		LMFA01031221		Osirisyne B
		LMFA01031222		Fulvyne A
		LMFA08020297		Mutanamide
		LMFA01031223		Fulvyne C
		LMFA01031224		Fulvyne E
		LMFA01031225		Fulvyne F
		LMFA01031226		Fulvyne G
		LMFA01031227		Fulvyne I
		LMFA01031229		Fulvyne D
		LMFA01031228		Fulvyne B
		LMFA01031230		Fulvyne H
		LMFA01170151		Cissoic acid
		LMFA01031231		Corticatic acid A
		LMFA01031232		Corticatic acid B
		LMFA03060118		13R-HETE
		LMFA03060119		
		LMFA03070060		
		LMFA01170152		Heptacosanedioic acid
		LMFA01060234		27-Oxooctacosanoic acid
		LMFA01170153		Nonacosane-1,29-dioic acid
		LMFA01050590		27-Hydroxyoctacosanoic acid
		LMFA01060235		29-Oxotriacontanoic acid
		LMFA01030810		Oleic acid(d2)
		LMFA08020299		1-tauro-tetranor-PGE1
		LMFA08020300		1-tauro-dinor-PGE2
		LMFA08020293		N-decanoyl histidine
		LMFA01050591		Curvulalic acid
		LMFA07040141		Curvulalide
		LMFA07040142		Modiolide A
		LMFA07040143		Modiolide B
		LMFA08030043		N-isovaleryl-homoserine lactone
		LMFA08030044		p-coumaroyl-homoserine lactone
		LMFA08030045		Cinnamoyl-homoserine lactone
		LMFA08030046		N-(2E-dodecenoyl)-homoserine lactone
		LMFA08030047		N-(7Z-tetradecenoyl)-homoserine lactone
		LMFA08030048		N-(2E,7Z-tetradecadienoyl)-homoserine lactone
		LMFA08020295		N-hexanoyl histidine
		LMFA01140024		Majusculoic acid
		LMFA03020019		20-trifluoro-LTB4
		LMFA08020302		Palmitoyl Serotonin
		LMFA08020304		Oleoyl Serotonin
		LMFA08020303		Stearoyl Serotonin
		LMFA08030049		N-(3-oxo-5Z-dodecenoyl)-homoserine lactone
		LMFA08030050		N-(5Z-dodecenoyl)-homoserine lactone
		LMFA08040068		N-(17,18-epoxy-5Z,8Z,11Z,14Z-eicosatetraenoyl)-EA
