LipidMaps	KEGG
LMFA08030003	C11839
LMFA08030004	C11841
LMFA08030005	C11842
LMFA08030007	C11845
LMFA08030006	C11844
LMFA08040047	C13829
LMFA01140018	C08366
LMFA03060005	C04805
LMFA01100065	C01092
LMFA03050020	C14771
LMFA02000235	C14828
LMFA01030761	C06428
LMFA01030763	C00712
LMFA03060080	C04742
LMFA03060082	C14748
LMFA03010037	C05961
LMFA02000234	C14829
LMFA02000231	C14767
LMFA02000236	C14762
LMFA03050021	C14769
LMFA03030010	C05963
LMFA03020030	C02165
LMFA01030003	C00219
LMFA01170048	C06104
LMFA02020209	C18699
LMFA07070000	C02301
LMFA08020318	C16952
LMFA08020325	C17827
LMFA03020025	C03577
LMFA01120002	C13958
LMFA03010087	C01312
LMFA03020003	C02166
LMFA01170051	C02656
LMFA02000035	C14762
LMFA07050384	C11945
LMFA07060008	C05750
LMFA01010000	C00162
LMFA07060007	C05748
LMFA11000002	C01387
LMFA11000004	C08374
LMFA07010713	C08453
LMFA07010470	C16995
LMFA07010480	C08486
LMFA07010511	C12290
LMFA07050030	C00332
LMFA01070020	C04867
LMFA07050315	C00882
LMFA07050013	C05263
LMFA01160001	C04218
LMFA01160002	C04465
LMFA01100037	C05715
LMFA07060019	C05762
LMFA01100041	C01826
LMFA07011189	C08774
LMFA05000647	C08402
LMFA11000007	C11271
LMFA07060013	C05755
LMFA01060193	C00349
LMFA01170096	C00846
LMFA01100055	C00430
LMFA05000089	C14273
LMFA03010142	C13802
LMFA03090003	C14810
LMFA03050010	C14775
LMFA01130001	C16241
LMFA03060027	C14779
LMFA01010024	C08320
LMFA01030085	C16526
LMFA00000009	C01255
LMFA01020274	C00141
LMFA01020275	C00671
LMFA01100038	C05717
LMFA11000006	C08388
LMFA03000004	C13843
LMFA05000097	C08375
LMFA01070019	C04834
LMFA01100050	C03284
LMFA01090068	C06755
LMFA01090071	C06614
LMFA01020396	C16794
LMFA01100062	C01037
LMFA05000649	C08447
LMFA08020175	C07597
LMFA08020185	C12111
LMFA07050366	C03724
LMFA01031043	C16525
LMFA03050004	C14772
LMFA03060019	C14807
LMFA03010001	C05961
LMFA03010138	C06476
LMFA03060028	C14780
LMFA01060077	C00022
LMFA01060078	C02217
LMFA03060070	C14812
LMFA01170074	C04655
LMFA01100040	C00431
LMFA07010447	C12292
LMFA03060108	C05356
LMFA03020068	C04741
LMFA01090156	C18241
LMFA01050458	C01053
LMFA01050463	C03197
LMFA01030946	C16654
LMFA07010877	C16184
LMFA07050158	C05262
LMFA07050189	C02154
LMFA07050191	C03345
LMFA07050380	C16336
LMFA04010008	C13818
LMFA01140001	C13838
LMFA03030001	C02198
LMFA03010030	C04707
LMFA01020072	C18319
LMFA01050039	C08317
LMFA06000052	C12307
LMFA01080009	C13947
LMFA05000088	C08385
LMFA02020016	C16318
LMFA01170083	C02504
LMFA10000003	C16319
LMFA01050472	C00900
LMFA01050474	C03826
LMFA05000646	C08470
LMFA07050242	C05269
LMFA07010721	C07874
LMFA07050356	C00510
LMFA07010880	C03425
LMFA01020001	C13787
LMFA03090004	C14811
LMFA01010005	C00803
LMFA01010022	C08281
LMFA01010002	C00033
LMFA06000098	C01838
LMFA01060171	C03341
LMFA01170062	C06201
LMFA03060075	C14815
LMFA03060051	C04577
LMFA03020078	C11361
LMFA08020165	C08396
LMFA08010019	C00579
LMFA07050144	C05272
LMFA07050157	C06000
LMFA07050370	C00091
LMFA07050324	C00527
LMFA07050365	C12450
LMFA07050395	C06737
LMFA01050210	C03049
LMFA08040001	C11695
LMFA03120002	C13812
LMFA05000059	C08492
LMFA03050017	C14782
